,ligand,receptor,ligand.name,receptor.name,ligand.synonyms,receptor.synonyms,ligand.altern.names,receptor.altern.names,source,PMIDs,cells.L,cells.R,remarks,Pair.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,Pair.Evidence
1498,HAS2,HMMR,Hyaluronan synthase 2,Hyaluronan mediated motility receptor,,"IHABP,RHAMM",EC 2.4.1.212 || Hyaluronate synthase 2 || Hyaluronic acid synthase 2 || HA synthase 2,Intracellular hyaluronic acid-binding protein || Receptor for hyaluronan-mediated motility || CD antigen CD168,"fantom5,HPMR",1376732,,,,HAS2_HMMR,,,,,,,,,
1499,HBEGF,CD44,Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth factor,CD44 antigen,"DTR,DTS,HEGFL","LHR,MDU2,MDU3,MIC4",HB-EGF || HBEGF || Diphtheria toxin receptor || DT-R),CDw44 || Epican || Extracellular matrix receptor III || ECMR-III || GP90 lymphocyte homing/adhesion receptor || HUTCH-I || Heparan sulfate proteoglycan || Hermes antigen || Hyaluronate receptor || Phagocytic glycoprotein 1 || PGP-1 || Phagocytic glycoprotein I || PGP-I || CD antigen CD44,"HPRD,fantom5",7532176,,,,HBEGF_CD44,,,,,,,,,
1500,HBEGF,CD82,Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth factor,CD82 antigen,"DTR,DTS,HEGFL","KAI1,SAR2,ST6,TSPAN27",HB-EGF || HBEGF || Diphtheria toxin receptor || DT-R),C33 antigen || IA4 || Inducible membrane protein R2 || Metastasis suppressor Kangai-1 || Suppressor of tumorigenicity 6 protein || Tetraspanin-27 || Tspan-27 || CD antigen CD82,"HPRD,fantom5",10749879,,,,HBEGF_CD82,,,,,,,,,
1501,HBEGF,CD9,Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth factor,CD9 antigen,"DTR,DTS,HEGFL","MIC3,TSPAN29,GIG2",HB-EGF || HBEGF || Diphtheria toxin receptor || DT-R),5H9 antigen || Cell growth-inhibiting gene 2 protein || Leukocyte antigen MIC3 || Motility-related protein || MRP-1 || Tetraspanin-29 || Tspan-29 || p24 || CD antigen CD9,"fantom5,HPRD","1939101,11735113,11846885,8194524",,,,HBEGF_CD9,,,,,,,,,
1502,HBEGF,EGFR,Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth factor,Epidermal growth factor receptor,"DTR,DTS,HEGFL","ERBB,ERBB1,HER1",HB-EGF || HBEGF || Diphtheria toxin receptor || DT-R),EC 2.7.10.1 || Proto-oncogene c-ErbB-1 || Receptor tyrosine-protein kinase erbB-1,"HPRD,HPMR,cellsignal.com,IUPHAR,fantom5",12725245,,,,HBEGF_EGFR,,,,,,,,,
1504,HBEGF,ERBB4,Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth factor,Receptor tyrosine-protein kinase erbB-4,"DTR,DTS,HEGFL",HER4,HB-EGF || HBEGF || Diphtheria toxin receptor || DT-R),EC 2.7.10.1 || Proto-oncogene-like protein c-ErbB-4 || Tyrosine kinase-type cell surface receptor HER4 || p180erbB4) [Cleaved into: ERBB4 intracellular domai || 4ICD || E4ICD || s80HER4),"fantom5,IUPHAR,HPMR,HPRD","1840698,914",,,,HBEGF_ERBB4,,,,,,,,,
1505,HBEGF,PRLR,Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth factor,Prolactin receptor,"DTR,DTS,HEGFL",,HB-EGF || HBEGF || Diphtheria toxin receptor || DT-R),PRL-R,fantom5,,,,,HBEGF_PRLR,,,,,,,,,
1506,HCRT,HCRTR1,Orexin,Orexin receptor type 1,"OX,PPORX,PPOX",,Hypocretin || Hcrt) [Cleaved into: Orexin- || Hypocretin-1 || Hcrt1); Orexin- || Hypocretin-2 || Hcrt2),Ox-1-R || Ox1-R || Ox1R || Hypocretin receptor type 1,"fantom5,IUPHAR,HPMR,HPRD","9491897,10498827,14691055,11403934,12606634,11250867,12702704,11266181,11162621,12208495,18599270,21362456",,,,HCRT_HCRTR1,,,,,,,,,
1507,HCRT,HCRTR2,Orexin,Orexin receptor type 2,"OX,PPORX,PPOX",,Hypocretin || Hcrt) [Cleaved into: Orexin- || Hypocretin-1 || Hcrt1); Orexin- || Hypocretin-2 || Hcrt2),Ox-2-R || Ox2-R || Ox2R || Hypocretin receptor type 2,"HPRD,HPMR,IUPHAR,fantom5","9491897,12702704,11162621,12208495,18599270",,,,HCRT_HCRTR2,,,,,,,,,
1508,HCRT,NPFFR2,Orexin,Neuropeptide FF receptor 2,"OX,PPORX,PPOX","GPR74,NPFF2,NPGPR",Hypocretin || Hcrt) [Cleaved into: Orexin- || Hypocretin-1 || Hcrt1); Orexin- || Hypocretin-2 || Hcrt2),G-protein coupled receptor 74 || G-protein coupled receptor HLWAR77 || Neuropeptide G-protein coupled receptor,"fantom5,HPRD",12609745,,,,HCRT_NPFFR2,,,,,,,,,
1509,HDC,HRH1,Histidine decarboxylase,Histamine H1 receptor,,,HDC || EC 4.1.1.22,H1R || HH1R,"fantom5,HPMR",,,,,HDC_HRH1,,,,,,,,,
1510,HDC,HRH2,Histidine decarboxylase,Histamine H2 receptor,,,HDC || EC 4.1.1.22,H2R || HH2R || Gastric receptor I,"fantom5,HPMR",,,,,HDC_HRH2,,,,,,,,,
1511,HDC,HRH3,Histidine decarboxylase,Histamine H3 receptor,,GPCR97,HDC || EC 4.1.1.22,H3R || HH3R || G-protein coupled receptor 97,"fantom5,HPMR",,,,,HDC_HRH3,,,,,,,,,
1512,HDC,HRH4,Histidine decarboxylase,Histamine H4 receptor,,GPCR105,HDC || EC 4.1.1.22,H4R || HH4R || AXOR35 || G-protein coupled receptor 105 || GPRv53 || Pfi-013 || SP9144,"fantom5,HPMR",,,,,HDC_HRH4,,,,,,,,,
1513,HEBP1,ADRA2A,Heme-binding protein 1,Alpha-2A adrenergic receptor,HBP,"ADRA2R,ADRAR",p22HBP,Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,HEBP1_ADRA2A,,,,,,,,,
1514,HEBP1,FPR3,Heme-binding protein 1,N-formyl peptide receptor 3,HBP,"FPRH1,FPRL2",p22HBP,FMLP-related receptor II || FMLP-R-II || Formyl peptide receptor-like 2,"IUPHAR,fantom5",15623572,,,,HEBP1_FPR3,,,,,,,,,
1516,HEBP1,MTNR1A,Heme-binding protein 1,Melatonin receptor type 1A,HBP,,p22HBP,Mel-1A-R || Mel1a receptor,reactome,,,,,HEBP1_MTNR1A,,,,,,,,,
1517,HGF,CD44,Hepatocyte growth factor,CD44 antigen,HPTA,"LHR,MDU2,MDU3,MIC4",Hepatopoietin-A || Scatter factor || SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain,CDw44 || Epican || Extracellular matrix receptor III || ECMR-III || GP90 lymphocyte homing/adhesion receptor || HUTCH-I || Heparan sulfate proteoglycan || Hermes antigen || Hyaluronate receptor || Phagocytic glycoprotein 1 || PGP-1 || Phagocytic glycoprotein I || PGP-I || CD antigen CD44,fantom5,10037743,,,,HGF_CD44,,,,,,,,,
1518,HGF,ITGB1,Hepatocyte growth factor,Integrin beta-1,HPTA,"FNRB,MDF2,MSK12",Hepatopoietin-A || Scatter factor || SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,reactome,,,,,HGF_ITGB1,,,,,,,,,
1519,HGF,MET,Hepatocyte growth factor,Hepatocyte growth factor receptor,HPTA,,Hepatopoietin-A || Scatter factor || SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain,HGF receptor || EC 2.7.10.1 || HGF/SF receptor || Proto-oncogene c-Met || Scatter factor receptor || SF receptor || Tyrosine-protein kinase Met,"HPRD,HPMR,IUPHAR,uniprot,fantom5","1846706,1655405,15167892,18495663",,,,HGF_MET,,,,,,,,,
1520,HGF,SDC1,Hepatocyte growth factor,Syndecan-1,HPTA,SDC,Hepatopoietin-A || Scatter factor || SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain,SYND1 || CD antigen CD138,"HPRD,fantom5",11830493,,,,HGF_SDC1,,,,,,,,,
1521,HGF,SDC2,Hepatocyte growth factor,Syndecan-2,HPTA,HSPG1,Hepatopoietin-A || Scatter factor || SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain,SYND2 || Fibroglycan || Heparan sulfate proteoglycan core protein || HSPG || CD antigen CD362,"fantom5,HPRD",8157651,,,,HGF_SDC2,,,,,,,,,
1522,HGF,ST14,Hepatocyte growth factor,Suppressor of tumorigenicity 14 protein,HPTA,"PRSS14,SNC19,TADG15",Hepatopoietin-A || Scatter factor || SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain,EC 3.4.21.109 || Matriptase || Membrane-type serine protease 1 || MT-SP1 || Prostamin || Serine protease 14 || Serine protease TADG-15 || Tumor-associated differentially-expressed gene 15 protein,"HPRD,fantom5","12372819,11",,,,HGF_ST14,,,,,,,,,
1523,HHIPL2,CACHD1,HHIP-like protein 2,VWFA and cache domain-containing protein 1,"HHIP3,KIAA1822L,UNQ841/PRO1779","KIAA1573,VWCD1",,Cache domain-containing protein 1,fantom5,,,,,HHIPL2_CACHD1,,,,,,,,,
1524,HHLA3,CHRM3,HERV-H LTR-associating protein 3,Muscarinic acetylcholine receptor M3,,,Human endogenous retrovirus-H long terminal repeat-associating protein 3,,fantom5,,,,,HHLA3_CHRM3,,,,,,,,,
1525,HLA-A,APLP2,"HLA class I histocompatibility antigen, A-1 alpha chain",Amyloid-like protein 2,HLAA,APPL2,"MHC class I antigen A*1 || HLA class I histocompatibility antigen, A-25 alpha chain || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*25 || HLA class I histocompatibility antigen, A-32 alpha chain || MHC class I antigen A*32 || HLA class I histocompatibility antigen, A-36 alpha chain || Aw-36 || MHC class I antigen A*36 || HLA class I histocompatibility antigen, A-74 alpha chain || Aw-19 || Aw-74 || MHC class I antigen A*74 || HLA class I histocompatibility antigen, A-3 alpha chain || MHC class I antigen A*3 || HLA class I histocompatibility antigen, A-11 alpha chain || MHC class I antigen A*11 || HLA class I histocompatibility antigen, A-23 alpha chain || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*23 || HLA class I histocompatibility antigen, A-26 alpha chain || MHC class I antigen A*26 || HLA class I histocompatibility antigen, A-31 alpha chain || MHC class I antigen A*31 || HLA class I histocompatibility antigen, A-34 alpha chain || Aw-34 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*34 || HLA class I histocompatibility antigen, A-43 alpha chain || Aw-43 || MHC class I antigen A*43 || HLA class I histocompatibility antigen, A-69 alpha chain || Aw-69 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*69 || HLA class I histocompatibility antigen, A-80 alpha chain || Aw-80 || HLA class I histocompatibility antigen, A-1 alpha chain || MHC class I antigen A*80 || HLA class I histocompatibility antigen, A-2 alpha chain || MHC class I antigen A*2 || HLA class I histocompatibility antigen, A-24 alpha chain || Aw-24 || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*24 || HLA class I histocompatibility antigen, A-29 alpha chain || Aw-19 || MHC class I antigen A*29 || HLA class I histocompatibility antigen, A-30 alpha chain || MHC class I antigen A*30 || HLA class I histocompatibility antigen, A-33 alpha chain || Aw-19 || Aw-33 || MHC class I antigen A*33 || HLA class I histocompatibility antigen, A-66 alpha chain || Aw-66 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*66 || HLA class I histocompatibility antigen, A-68 alpha chain || Aw-68 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*68",APLP-2 || APPH || Amyloid protein homolog || CDEI box-binding protein || CDEBP,"fantom5,HPRD",19184004,,,,HLA-A_APLP2,,,,,,,,,
1526,HLA-A,CD3D,"HLA class I histocompatibility antigen, A-1 alpha chain",T-cell surface glycoprotein CD3 delta chain,HLAA,T3D,"MHC class I antigen A*1 || HLA class I histocompatibility antigen, A-25 alpha chain || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*25 || HLA class I histocompatibility antigen, A-32 alpha chain || MHC class I antigen A*32 || HLA class I histocompatibility antigen, A-36 alpha chain || Aw-36 || MHC class I antigen A*36 || HLA class I histocompatibility antigen, A-74 alpha chain || Aw-19 || Aw-74 || MHC class I antigen A*74 || HLA class I histocompatibility antigen, A-3 alpha chain || MHC class I antigen A*3 || HLA class I histocompatibility antigen, A-11 alpha chain || MHC class I antigen A*11 || HLA class I histocompatibility antigen, A-23 alpha chain || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*23 || HLA class I histocompatibility antigen, A-26 alpha chain || MHC class I antigen A*26 || HLA class I histocompatibility antigen, A-31 alpha chain || MHC class I antigen A*31 || HLA class I histocompatibility antigen, A-34 alpha chain || Aw-34 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*34 || HLA class I histocompatibility antigen, A-43 alpha chain || Aw-43 || MHC class I antigen A*43 || HLA class I histocompatibility antigen, A-69 alpha chain || Aw-69 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*69 || HLA class I histocompatibility antigen, A-80 alpha chain || Aw-80 || HLA class I histocompatibility antigen, A-1 alpha chain || MHC class I antigen A*80 || HLA class I histocompatibility antigen, A-2 alpha chain || MHC class I antigen A*2 || HLA class I histocompatibility antigen, A-24 alpha chain || Aw-24 || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*24 || HLA class I histocompatibility antigen, A-29 alpha chain || Aw-19 || MHC class I antigen A*29 || HLA class I histocompatibility antigen, A-30 alpha chain || MHC class I antigen A*30 || HLA class I histocompatibility antigen, A-33 alpha chain || Aw-19 || Aw-33 || MHC class I antigen A*33 || HLA class I histocompatibility antigen, A-66 alpha chain || Aw-66 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*66 || HLA class I histocompatibility antigen, A-68 alpha chain || Aw-68 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*68",T-cell receptor T3 delta chain || CD antigen CD3d,fantom5,,,,,HLA-A_CD3D,,,,,,,,,
1527,HLA-A,CD3G,"HLA class I histocompatibility antigen, A-1 alpha chain",T-cell surface glycoprotein CD3 gamma chain,HLAA,T3G,"MHC class I antigen A*1 || HLA class I histocompatibility antigen, A-25 alpha chain || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*25 || HLA class I histocompatibility antigen, A-32 alpha chain || MHC class I antigen A*32 || HLA class I histocompatibility antigen, A-36 alpha chain || Aw-36 || MHC class I antigen A*36 || HLA class I histocompatibility antigen, A-74 alpha chain || Aw-19 || Aw-74 || MHC class I antigen A*74 || HLA class I histocompatibility antigen, A-3 alpha chain || MHC class I antigen A*3 || HLA class I histocompatibility antigen, A-11 alpha chain || MHC class I antigen A*11 || HLA class I histocompatibility antigen, A-23 alpha chain || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*23 || HLA class I histocompatibility antigen, A-26 alpha chain || MHC class I antigen A*26 || HLA class I histocompatibility antigen, A-31 alpha chain || MHC class I antigen A*31 || HLA class I histocompatibility antigen, A-34 alpha chain || Aw-34 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*34 || HLA class I histocompatibility antigen, A-43 alpha chain || Aw-43 || MHC class I antigen A*43 || HLA class I histocompatibility antigen, A-69 alpha chain || Aw-69 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*69 || HLA class I histocompatibility antigen, A-80 alpha chain || Aw-80 || HLA class I histocompatibility antigen, A-1 alpha chain || MHC class I antigen A*80 || HLA class I histocompatibility antigen, A-2 alpha chain || MHC class I antigen A*2 || HLA class I histocompatibility antigen, A-24 alpha chain || Aw-24 || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*24 || HLA class I histocompatibility antigen, A-29 alpha chain || Aw-19 || MHC class I antigen A*29 || HLA class I histocompatibility antigen, A-30 alpha chain || MHC class I antigen A*30 || HLA class I histocompatibility antigen, A-33 alpha chain || Aw-19 || Aw-33 || MHC class I antigen A*33 || HLA class I histocompatibility antigen, A-66 alpha chain || Aw-66 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*66 || HLA class I histocompatibility antigen, A-68 alpha chain || Aw-68 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*68",T-cell receptor T3 gamma chain || CD antigen CD3g,fantom5,,,,,HLA-A_CD3G,,,,,,,,,
1528,HLA-A,ERBB2,"HLA class I histocompatibility antigen, A-1 alpha chain",Receptor tyrosine-protein kinase erbB-2,HLAA,"HER2,MLN19,NEU,NGL","MHC class I antigen A*1 || HLA class I histocompatibility antigen, A-25 alpha chain || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*25 || HLA class I histocompatibility antigen, A-32 alpha chain || MHC class I antigen A*32 || HLA class I histocompatibility antigen, A-36 alpha chain || Aw-36 || MHC class I antigen A*36 || HLA class I histocompatibility antigen, A-74 alpha chain || Aw-19 || Aw-74 || MHC class I antigen A*74 || HLA class I histocompatibility antigen, A-3 alpha chain || MHC class I antigen A*3 || HLA class I histocompatibility antigen, A-11 alpha chain || MHC class I antigen A*11 || HLA class I histocompatibility antigen, A-23 alpha chain || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*23 || HLA class I histocompatibility antigen, A-26 alpha chain || MHC class I antigen A*26 || HLA class I histocompatibility antigen, A-31 alpha chain || MHC class I antigen A*31 || HLA class I histocompatibility antigen, A-34 alpha chain || Aw-34 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*34 || HLA class I histocompatibility antigen, A-43 alpha chain || Aw-43 || MHC class I antigen A*43 || HLA class I histocompatibility antigen, A-69 alpha chain || Aw-69 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*69 || HLA class I histocompatibility antigen, A-80 alpha chain || Aw-80 || HLA class I histocompatibility antigen, A-1 alpha chain || MHC class I antigen A*80 || HLA class I histocompatibility antigen, A-2 alpha chain || MHC class I antigen A*2 || HLA class I histocompatibility antigen, A-24 alpha chain || Aw-24 || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*24 || HLA class I histocompatibility antigen, A-29 alpha chain || Aw-19 || MHC class I antigen A*29 || HLA class I histocompatibility antigen, A-30 alpha chain || MHC class I antigen A*30 || HLA class I histocompatibility antigen, A-33 alpha chain || Aw-19 || Aw-33 || MHC class I antigen A*33 || HLA class I histocompatibility antigen, A-66 alpha chain || Aw-66 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*66 || HLA class I histocompatibility antigen, A-68 alpha chain || Aw-68 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*68",EC 2.7.10.1 || Metastatic lymph node gene 19 protein || MLN 19 || Proto-oncogene Neu || Proto-oncogene c-ErbB-2 || Tyrosine kinase-type cell surface receptor HER2 || p185erbB2 || CD antigen CD340,"fantom5,HPRD",10593938,,,,HLA-A_ERBB2,,,,,,,,,
1529,HLA-A,KIR2DL1,"HLA class I histocompatibility antigen, A-1 alpha chain",Killer cell immunoglobulin-like receptor 2DL1,HLAA,"CD158A,NKAT1","MHC class I antigen A*1 || HLA class I histocompatibility antigen, A-25 alpha chain || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*25 || HLA class I histocompatibility antigen, A-32 alpha chain || MHC class I antigen A*32 || HLA class I histocompatibility antigen, A-36 alpha chain || Aw-36 || MHC class I antigen A*36 || HLA class I histocompatibility antigen, A-74 alpha chain || Aw-19 || Aw-74 || MHC class I antigen A*74 || HLA class I histocompatibility antigen, A-3 alpha chain || MHC class I antigen A*3 || HLA class I histocompatibility antigen, A-11 alpha chain || MHC class I antigen A*11 || HLA class I histocompatibility antigen, A-23 alpha chain || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*23 || HLA class I histocompatibility antigen, A-26 alpha chain || MHC class I antigen A*26 || HLA class I histocompatibility antigen, A-31 alpha chain || MHC class I antigen A*31 || HLA class I histocompatibility antigen, A-34 alpha chain || Aw-34 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*34 || HLA class I histocompatibility antigen, A-43 alpha chain || Aw-43 || MHC class I antigen A*43 || HLA class I histocompatibility antigen, A-69 alpha chain || Aw-69 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*69 || HLA class I histocompatibility antigen, A-80 alpha chain || Aw-80 || HLA class I histocompatibility antigen, A-1 alpha chain || MHC class I antigen A*80 || HLA class I histocompatibility antigen, A-2 alpha chain || MHC class I antigen A*2 || HLA class I histocompatibility antigen, A-24 alpha chain || Aw-24 || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*24 || HLA class I histocompatibility antigen, A-29 alpha chain || Aw-19 || MHC class I antigen A*29 || HLA class I histocompatibility antigen, A-30 alpha chain || MHC class I antigen A*30 || HLA class I histocompatibility antigen, A-33 alpha chain || Aw-19 || Aw-33 || MHC class I antigen A*33 || HLA class I histocompatibility antigen, A-66 alpha chain || Aw-66 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*66 || HLA class I histocompatibility antigen, A-68 alpha chain || Aw-68 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*68",CD158 antigen-like family member A || MHC class I NK cell receptor || Natural killer-associated transcript 1 || NKAT-1 || p58 natural killer cell receptor clones CL-42/47.11 || p58 NK receptor CL-42/47.11 || p58.1 MHC class-I-specific NK receptor || CD antigen CD158a,fantom5,,,,,HLA-A_KIR2DL1,,,,,,,,,
1530,HLA-A,KIR2DL3,"HLA class I histocompatibility antigen, A-1 alpha chain",Killer cell immunoglobulin-like receptor 2DL3,HLAA,"CD158B2,KIRCL23,NKAT2","MHC class I antigen A*1 || HLA class I histocompatibility antigen, A-25 alpha chain || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*25 || HLA class I histocompatibility antigen, A-32 alpha chain || MHC class I antigen A*32 || HLA class I histocompatibility antigen, A-36 alpha chain || Aw-36 || MHC class I antigen A*36 || HLA class I histocompatibility antigen, A-74 alpha chain || Aw-19 || Aw-74 || MHC class I antigen A*74 || HLA class I histocompatibility antigen, A-3 alpha chain || MHC class I antigen A*3 || HLA class I histocompatibility antigen, A-11 alpha chain || MHC class I antigen A*11 || HLA class I histocompatibility antigen, A-23 alpha chain || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*23 || HLA class I histocompatibility antigen, A-26 alpha chain || MHC class I antigen A*26 || HLA class I histocompatibility antigen, A-31 alpha chain || MHC class I antigen A*31 || HLA class I histocompatibility antigen, A-34 alpha chain || Aw-34 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*34 || HLA class I histocompatibility antigen, A-43 alpha chain || Aw-43 || MHC class I antigen A*43 || HLA class I histocompatibility antigen, A-69 alpha chain || Aw-69 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*69 || HLA class I histocompatibility antigen, A-80 alpha chain || Aw-80 || HLA class I histocompatibility antigen, A-1 alpha chain || MHC class I antigen A*80 || HLA class I histocompatibility antigen, A-2 alpha chain || MHC class I antigen A*2 || HLA class I histocompatibility antigen, A-24 alpha chain || Aw-24 || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*24 || HLA class I histocompatibility antigen, A-29 alpha chain || Aw-19 || MHC class I antigen A*29 || HLA class I histocompatibility antigen, A-30 alpha chain || MHC class I antigen A*30 || HLA class I histocompatibility antigen, A-33 alpha chain || Aw-19 || Aw-33 || MHC class I antigen A*33 || HLA class I histocompatibility antigen, A-66 alpha chain || Aw-66 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*66 || HLA class I histocompatibility antigen, A-68 alpha chain || Aw-68 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*68",CD158 antigen-like family member B2 || KIR-023GB || Killer inhibitory receptor cl 2-3 || MHC class I NK cell receptor || NKAT2a || NKAT2b || Natural killer-associated transcript 2 || NKAT-2 || p58 natural killer cell receptor clone CL-6 || p58 NK receptor CL-6 || p58.2 MHC class-I-specific NK receptor || CD antigen CD158b2,fantom5,,,,,HLA-A_KIR2DL3,,,,,,,,,
1534,HLA-A,LILRB2,"HLA class I histocompatibility antigen, A-1 alpha chain",Leukocyte immunoglobulin-like receptor subfamily B member 2,HLAA,"ILT4,LIR2,MIR10","MHC class I antigen A*1 || HLA class I histocompatibility antigen, A-25 alpha chain || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*25 || HLA class I histocompatibility antigen, A-32 alpha chain || MHC class I antigen A*32 || HLA class I histocompatibility antigen, A-36 alpha chain || Aw-36 || MHC class I antigen A*36 || HLA class I histocompatibility antigen, A-74 alpha chain || Aw-19 || Aw-74 || MHC class I antigen A*74 || HLA class I histocompatibility antigen, A-3 alpha chain || MHC class I antigen A*3 || HLA class I histocompatibility antigen, A-11 alpha chain || MHC class I antigen A*11 || HLA class I histocompatibility antigen, A-23 alpha chain || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*23 || HLA class I histocompatibility antigen, A-26 alpha chain || MHC class I antigen A*26 || HLA class I histocompatibility antigen, A-31 alpha chain || MHC class I antigen A*31 || HLA class I histocompatibility antigen, A-34 alpha chain || Aw-34 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*34 || HLA class I histocompatibility antigen, A-43 alpha chain || Aw-43 || MHC class I antigen A*43 || HLA class I histocompatibility antigen, A-69 alpha chain || Aw-69 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*69 || HLA class I histocompatibility antigen, A-80 alpha chain || Aw-80 || HLA class I histocompatibility antigen, A-1 alpha chain || MHC class I antigen A*80 || HLA class I histocompatibility antigen, A-2 alpha chain || MHC class I antigen A*2 || HLA class I histocompatibility antigen, A-24 alpha chain || Aw-24 || HLA class I histocompatibility antigen, A-9 alpha chain || MHC class I antigen A*24 || HLA class I histocompatibility antigen, A-29 alpha chain || Aw-19 || MHC class I antigen A*29 || HLA class I histocompatibility antigen, A-30 alpha chain || MHC class I antigen A*30 || HLA class I histocompatibility antigen, A-33 alpha chain || Aw-19 || Aw-33 || MHC class I antigen A*33 || HLA class I histocompatibility antigen, A-66 alpha chain || Aw-66 || HLA class I histocompatibility antigen, A-10 alpha chain || MHC class I antigen A*66 || HLA class I histocompatibility antigen, A-68 alpha chain || Aw-68 || HLA class I histocompatibility antigen, A-28 alpha chain || MHC class I antigen A*68",LIR-2 || Leukocyte immunoglobulin-like receptor 2 || CD85 antigen-like family member D || Immunoglobulin-like transcript 4 || ILT-4 || Monocyte/macrophage immunoglobulin-like receptor 10 || MIR-10 || CD antigen CD85d,"HPRD,fantom5","12853576,95",,,,HLA-A_LILRB2,,,,,,,,,
